capitulo,titulo_capitulo,articulo,texto
Capítulo I,Principios y Disposiciones Generales,Artículo 14,"1. Las relaciones internacionales de Chile, como expresión de su soberanía, se fundan en el respeto al derecho internacional y a los principios de autodeterminación de los pueblos, no intervención en asuntos que son de la jurisdicción interna de los Estados, multilateralismo, solidaridad, cooperación, autonomía política e igualdad jurídica entre los Estados."
Capítulo I,Principios y Disposiciones Generales,Artículo 14,"2. De igual forma, se compromete con la promoción y el respeto de la democracia, el reconocimiento y protección de los derechos humanos, la inclusión, la igualdad de género, la justicia social, el respeto a la naturaleza, la paz, la convivencia y la solución pacífica de los conflictos y con el reconocimiento, el respeto y la promoción de los derechos de los pueblos y naciones indígenas y tribales conforme al derecho internacional de los derechos humanos."
Capítulo I,Principios y Disposiciones Generales,Artículo 14,"3. Chile declara a América Latina y el Caribe como zona prioritaria en sus relaciones internacionales. Se compromete con el mantenimiento de la región como una zona de paz y libre de violencia; impulsa la integración regional, política, social, cultural, económica y productiva entre los Estados, y facilita el contacto y la cooperación transfronteriza entre pueblos indígenas."
Capítulo I,Principios y Disposiciones Generales,Artículo 15,"1. Los derechos y las obligaciones establecidos en los tratados internacionales de derechos humanos ratificados y vigentes en Chile, los principios generales del derecho internacional de los derechos humanos y el derecho internacional consuetudinario de la misma materia forman parte integral de esta Constitución y gozan de rango constitucional."
Capítulo I,Principios y Disposiciones Generales,Artículo 15,"2. El Estado debe prevenir, investigar, sancionar y reparar integralmente las violaciones a los derechos humanos."
Capítulo I,Principios y Disposiciones Generales,Artículo 16,"1. El Estado se funda en el principio de supremacía constitucional y en el respeto a los derechos humanos. Los preceptos de esta Constitución obligan a toda persona, grupo, autoridad o institución."
Capítulo I,Principios y Disposiciones Generales,Artículo 16,"2. Los órganos del Estado y sus titulares e integrantes actúan previa investidura regular y someten su actuar a la Constitución y a las normas dictadas conforme a esta, dentro de los límites y competencias por ellas establecidos."
Capítulo I,Principios y Disposiciones Generales,Artículo 16,"3. Ninguna magistratura, persona ni grupo de personas, civiles o militares, pueden atribuirse otra autoridad, competencia o derechos que los que expresamente se les haya conferido en virtud de la Constitución y las leyes, ni aun a pretexto de circunstancias extraordinarias."
Capítulo I,Principios y Disposiciones Generales,Artículo 16,4. Todo acto en contravención a este artículo es nulo y originará las responsabilidades y sanciones que la ley señale. La acción de nulidad se ejercerá en los plazos y condiciones establecidos por esta Constitución y la ley.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 17,"1. Los derechos fundamentales son inherentes a la persona humana, universales, inalienables, indivisibles e interdependientes."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 17,"2. El pleno ejercicio de estos derechos es esencial para la vida digna de las personas y los pueblos, la democracia, la paz y el equilibrio de la naturaleza."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 18,1. Las personas naturales son titulares de derechos fundamentales. Los derechos podrán ser ejercidos y exigidos individual o colectivamente.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 18,2. Los pueblos y naciones indígenas son titulares de derechos fundamentales colectivos.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 18,3. La naturaleza es titular de los derechos reconocidos en esta Constitución que le sean aplicables.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 19,"1. El Estado debe respetar, promover, proteger y garantizar el pleno ejercicio y satisfacción de los derechos fundamentales, sin discriminación, así como adoptar las medidas necesarias para eliminar todos los obstáculos que entorpezcan su realización."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 19,"2. Para su protección, las personas gozan de garantías eficaces, oportunas, pertinentes y universales."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 19,"3. Toda persona, institución, asociación o grupo deberá respetar los derechos fundamentales, conforme a la Constitución y la ley."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 20,"1. El Estado debe adoptar todas las medidas necesarias para lograr de manera progresiva la plena satisfacción de los derechos fundamentales. Ninguna de ellas podrá tener un carácter regresivo que disminuya, menoscabe o impida injustificadamente su ejercicio."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 20,2. El financiamiento de las prestaciones estatales vinculadas al ejercicio de los derechos fundamentales propenderá a la progresividad.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 21,"1. Toda persona tiene derecho a la vida y a la integridad personal. Esta comprende la integridad física, psicosocial, sexual y afectiva."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 21,"2. Ninguna persona puede ser condenada a muerte o ejecutada, sometida a torturas, ni penas o tratos crueles, inhumanos o degradantes."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 22,Ninguna persona será sometida a desaparición forzada. Toda víctima tiene derecho a ser buscada y el Estado dispondrá de todos los medios necesarios para ello.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 23,"Ninguna persona que resida en Chile y que cumpla los requisitos establecidos en esta Constitución y las leyes podrá ser desterrada, exiliada, relegada ni sometida a desplazamiento forzado."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 24,"1. Las víctimas y la comunidad tienen derecho al esclarecimiento y conocimiento de la verdad respecto de graves violaciones a los derechos humanos, especialmente cuando constituyan crímenes de lesa humanidad, crímenes de guerra, genocidio o despojo territorial."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 24,"2. La desaparición forzada, la tortura y otras penas o tratos crueles, inhumanos o degradantes, los crímenes de guerra, los crímenes de lesa humanidad, el genocidio y el crimen de agresión son imprescriptibles e inamnistiables."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 24,"3. Son obligaciones del Estado prevenir, investigar, sancionar e impedir la impunidad. Tales crímenes deben ser investigados de oficio, con la debida diligencia, seriedad, rapidez, independencia e imparcialidad. La investigación de estos hechos no será susceptible de impedimento alguno."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 24,4. Las víctimas de violaciones a los derechos humanos tienen derecho a la reparación integral.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 24,"5. El Estado garantiza el derecho a la memoria y su relación con las garantías de no repetición y los derechos a la verdad, justicia y reparación integral. Es deber del Estado preservar la memoria y garantizar el acceso a los archivos y documentos, en sus distintos soportes y contenidos. Los sitios de memoria y memoriales son objeto de especial protección y se asegura su preservación y sostenibilidad."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 25,"1. Toda persona tiene derecho a la igualdad, que comprende la igualdad sustantiva, la igualdad ante la ley y la no discriminación. Es deber del Estado asegurar la igualdad de trato y oportunidades. En Chile no hay persona ni grupo privilegiado. Queda prohibida toda forma de esclavitud."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 25,"2. El Estado garantiza a todas las personas la igualdad sustantiva, en tanto garantía del reconocimiento, goce y ejercicio de los derechos fundamentales, con pleno respeto a la diversidad, la inclusión social y la integración."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 25,"3. El Estado asegura la igualdad de género para las mujeres, niñas, diversidades y disidencias sexuales y de género, tanto en el ámbito público como privado."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 25,"4. Está prohibida toda forma de discriminación, en especial cuando se funde en uno o más motivos tales como nacionalidad o apatridia, edad, sexo, características sexuales, orientación sexual o afectiva, identidad y expresión de género, diversidad corporal, religión o creencia, raza, pertenencia a un pueblo y nación indígena o tribal, opiniones políticas o de otra naturaleza, clase social, ruralidad, situación migratoria o de refugio, discapacidad, condición de salud mental o física, estado civil, filiación o condición social, y cualquier otra que tenga por objeto o resultado anular o menoscabar la dignidad humana, el goce y ejercicio de los derechos."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 25,"5. El Estado adoptará todas las medidas necesarias, incluidos los ajustes razonables, para corregir y superar la desventaja o el sometimiento de una persona o grupo. La ley determinará las medidas de prevención, prohibición, sanción y reparación de toda forma de discriminación, en los ámbitos público y privado, así como los mecanismos para garantizar la igualdad sustantiva. El Estado debe tener especialmente en consideración los casos en que confluyan, respecto de una persona, más de una categoría, condición o motivo."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 26,"1. Niñas, niños y adolescentes son titulares de los derechos establecidos en esta Constitución y en los tratados internacionales de derechos humanos ratificados y vigentes en Chile."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 26,"2. El Estado tiene el deber prioritario de promover, respetar y garantizar los derechos de niñas, niños y adolescentes, resguardando su interés superior, su autonomía progresiva, su desarrollo integral y su derecho a ser escuchados y a participar e influir en todos los asuntos que les afecten, en el grado que corresponda a su nivel de desarrollo en la vida familiar, comunitaria y social."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 26,"3. Niñas, niños y adolescentes tienen derecho a vivir en condiciones familiares y ambientales que permitan el pleno y armonioso desarrollo de su personalidad. El Estado debe velar por que no sean separados de sus familias salvo como medida temporal y último recurso en resguardo de su interés superior, caso en el cual se priorizará un acogimiento familiar por sobre el residencial, debiendo adoptar las medidas que sean necesarias para asegurar su bienestar y resguardar el ejercicio de sus derechos."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 26,"4. Asimismo, tienen derecho a la protección contra toda forma de violencia, maltrato, abuso, explotación, acoso y negligencia. La erradicación de la violencia contra la niñez es de la más alta prioridad para el Estado y para ello diseñará estrategias y acciones para abordar situaciones que impliquen un menoscabo de su integridad personal, sea que la violencia provenga de las familias, del Estado o de terceros."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 26,"5. La ley establecerá un sistema de protección integral de garantías de los derechos de niñas, niños y adolescentes, a través del cual establecerá responsabilidades específicas de los poderes y órganos del Estado, su deber de trabajo intersectorial y coordinado para asegurar la prevención de la violencia en su contra y la promoción y protección efectiva de sus derechos. El Estado asegurará por medio de este sistema que, ante amenaza o vulneración de derechos, existan mecanismos para su restitución, sanción y reparación."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 27,"1. Todas las mujeres, las niñas, las adolescentes y las personas de las diversidades y disidencias sexuales y de género tienen derecho a una vida libre de violencia de género en todas sus manifestaciones, tanto en el ámbito público como en el privado, sea que provenga de particulares, instituciones o agentes del Estado."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 27,"2. El Estado deberá adoptar las medidas necesarias para erradicar todo tipo de violencia de género y los patrones socioculturales que la posibilitan, actuando con la debida diligencia para prevenirla, investigarla y sancionarla, así como brindar atención, protección y reparación integral a las víctimas, considerando especialmente las situaciones de vulnerabilidad en que puedan hallarse."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 28,1. Las personas con discapacidad son titulares de los derechos establecidos en esta Constitución y en los tratados internacionales de derechos humanos ratificados y vigentes en Chile.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 28,"2. Toda persona con discapacidad tiene derecho al goce y ejercicio de su capacidad jurídica, con apoyos y salvaguardias, según corresponda; a la accesibilidad universal; a la inclusión social; a la inserción laboral, y a la participación política, económica, social y cultural."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 28,"3. La ley establecerá un sistema nacional a través del cual se elaborarán, coordinarán y ejecutarán políticas y programas destinados a atender sus necesidades de trabajo, educación, vivienda, salud y cuidado. La ley garantizará que la elaboración, ejecución y supervisión de dichas políticas y programas cuenten con la participación activa y vinculante de las personas con discapacidad y de las organizaciones que las representan."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 28,"4. La ley determinará los medios necesarios para identificar y remover las barreras físicas, sociales, culturales, actitudinales, de comunicación y de otra índole para facilitar a las personas con discapacidad el ejercicio de sus derechos."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 28,"5. El Estado garantiza los derechos lingüísticos e identidades culturales de las personas con discapacidad, los que incluyen el derecho a expresarse y comunicarse a través de sus lenguas y el acceso a mecanismos, medios y formas alternativas de comunicación. Asimismo, garantiza la autonomía lingüística de las personas sordas en todos los ámbitos de la vida."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 29,"El Estado reconoce la neurodiversidad y garantiza a las personas neurodivergentes su derecho a una vida autónoma, a desarrollar libremente su personalidad e identidad, a ejercer su capacidad jurídica y los derechos reconocidos en esta Constitución y los tratados e instrumentos internacionales de derechos humanos ratificados y vigentes en Chile."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 30,1. Toda persona sometida a cualquier forma de privación de libertad no puede sufrir limitaciones de otros derechos que aquellos estrictamente necesarios para la ejecución de la pena.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 30,2. El Estado debe asegurar un trato digno con pleno respeto a sus derechos humanos y los de sus visitas.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 30,"3. Las mujeres y personas gestantes tienen derecho, antes, durante y después del parto, a acceder a los servicios de salud que requieran, a la lactancia y al vínculo directo y permanente con su hija o hijo, teniendo en consideración el interés superior de niñas, niños y adolescentes."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 30,"4. Ninguna persona privada de libertad podrá ser sometida a tortura ni a otros tratos crueles, inhumanos o degradantes, ni a trabajos forzosos. Asimismo, no podrá ser sometida a aislamiento o incomunicación como sanción disciplinaria."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 31,1. Las personas privadas de libertad tienen derecho a hacer peticiones a la autoridad penitenciaria y al tribunal de ejecución de la pena para el resguardo de sus derechos y a recibir una respuesta oportuna.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 31,"2. Asimismo, tienen derecho a mantener la comunicación y el contacto personal, directo y periódico con sus redes de apoyo y siempre con las personas encargadas de su asesoría jurídica."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 32,1. Toda persona privada de libertad tiene derecho a la inserción e integración social. Es deber del Estado garantizar un sistema penitenciario orientado a este fin.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 32,"2. El Estado creará organismos que, con personal civil y técnico, garanticen la inserción e integración penitenciaria y pospenitenciaria de las personas privadas de libertad. La seguridad y administración de estos recintos estarán reguladas por ley."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 33,1. Las personas mayores son titulares de los derechos establecidos en esta Constitución y en los tratados internacionales de derechos humanos ratificados y vigentes en Chile.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 33,"2. Asimismo, tienen derecho a envejecer con dignidad; a obtener prestaciones de seguridad social suficientes para una vida digna; a la accesibilidad al entorno físico, social, económico, cultural y digital; a la participación política y social; a una vida libre de maltrato por motivos de edad; a la autonomía e independencia y al pleno ejercicio de su capacidad jurídica con los apoyos y salvaguardias que correspondan."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 34,"Los pueblos y naciones indígenas y sus integrantes, en virtud de su libre determinación, tienen derecho al pleno ejercicio de sus derechos colectivos e individuales. En especial, tienen derecho a la autonomía; al autogobierno; a su propia cultura; a la identidad y cosmovisión; al patrimonio; a la lengua; al reconocimiento y protección de sus tierras, territorios y recursos, en su dimensión material e inmaterial y al especial vinculo que mantienen con estos; a la cooperación e integración; al reconocimiento de sus instituciones, jurisdicciones y autoridades, propias o tradicionales; y a participar plenamente, si así́ lo desean, en la vida política, económica, social y cultural del Estado."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 35,1. Toda persona tiene derecho a la educación. La educación es un deber primordial e ineludible del Estado.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 35,"2. La educación es un proceso de formación y aprendizaje permanente a lo largo de la vida, indispensable para el ejercicio de los demás derechos y para la actividad científica, tecnológica, económica y cultural del país."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 35,"3. Sus fines son la construcción del bien común, la justicia social, el respeto de los derechos humanos y de la naturaleza, la conciencia ecológica, la convivencia democrática entre los pueblos, la prevención de la violencia y discriminación, así como la adquisición de conocimientos, el pensamiento crítico, la capacidad creadora y el desarrollo integral de las personas, considerando sus dimensiones cognitiva, física, social y emocional."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 35,"4. La educación se rige por los principios de cooperación, no discriminación, inclusión, justicia, participación, solidaridad, interculturalidad, enfoque de género, pluralismo y los demás principios consagrados en esta Constitución. Tiene un carácter no sexista y se desarrolla de forma contextualizada, considerando la pertinencia territorial, cultural y lingüística."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 35,"5. La educación se orienta hacia la calidad, entendida como el cumplimiento de sus fines y principios."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 35,"6. La ley establecerá la forma en que estos fines y principios deberán materializarse, en condiciones de equidad, en las instituciones educativas y en los procesos de enseñanza."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 35,7. La educación es de acceso universal en todos sus niveles y obligatoria desde el nivel básico hasta la educación media inclusive.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 36,"1. El Sistema Nacional de Educación está integrado por los establecimientos y las instituciones de educación parvularia, básica, media y superior, creadas o reconocidas por el Estado. Se articula bajo el principio de colaboración y tiene como centro la experiencia de aprendizaje de las y los estudiantes."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 36,"2. El Estado ejerce labores de coordinación, regulación, mejoramiento y supervigilancia del Sistema. La ley determinará los requisitos para el reconocimiento oficial de estos establecimientos e instituciones."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 36,"3. Los establecimientos y las instituciones que lo conforman están sujetos al régimen común que fije la ley, son de carácter democrático, no podrán discriminar en su acceso, se rigen por los fines y principios de este derecho y tienen prohibida toda forma de lucro."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 36,"4. El Sistema Nacional de Educación promueve la diversidad de saberes artísticos, ecológicos, culturales y filosóficos que conviven en el país."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 36,"5. La Constitución reconoce la autonomía de los pueblos y naciones indígenas para desarrollar sus propios establecimientos e instituciones de conformidad con sus costumbres y cultura, respetando los fines y principios de la educación, y dentro de los marcos del Sistema Nacional de Educación establecidos por la ley."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 36,6. El Estado brindará oportunidades y apoyos adicionales a personas con discapacidad y en riesgo de exclusión.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 36,"7. La educación pública constituye el eje estratégico del Sistema Nacional de Educación; su ampliación y fortalecimiento es un deber primordial del Estado, para lo cual articulará, gestionará y financiará un Sistema de Educación Pública de carácter laico y gratuito, compuesto por establecimientos e instituciones estatales de todos los niveles y modalidades educativas."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 36,"8. El Estado debe financiar este Sistema de forma permanente, directa, pertinente y suficiente a través de aportes basales, a fin de cumplir plena y equitativamente con los fines y principios de la educación."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 37,"1. El Sistema de Educación Superior estará conformado por las universidades, los institutos profesionales, los centros de formación técnica, las academias creadas o reconocidas por el Estado y las escuelas de formación de las policías y las Fuerzas Armadas. Estas instituciones considerarán las necesidades comunales, regionales y nacionales. Tienen prohibida toda forma de lucro."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 37,"2. Las instituciones de educación superior tienen la misión de enseñar, producir y socializar el conocimiento. La Constitución protege la libertad de cátedra, la investigación y la libre discusión de las ideas de las académicas y los académicos de las universidades creadas o reconocidas por el Estado."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 37,"3. Las instituciones de educación superior del Estado forman parte del Sistema de Educación Pública y su financiamiento se sujetará a lo dispuesto por esta Constitución, debiendo garantizar el cumplimiento íntegro de sus funciones de docencia, investigación y colaboración con la sociedad."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 37,"4. En cada región existirá, al menos, una universidad estatal y una institución de formación técnico profesional de nivel superior estatal. Estas se relacionarán de manera coordinada y preferente con las entidades territoriales y servicios públicos con presencia regional, de acuerdo con las necesidades locales."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 37,"5. El Estado velará por el acceso a la educación superior de todas las personas que cumplan los requisitos establecidos por la ley. El ingreso, permanencia y promoción de quienes estudien en la educación superior se regirá por los principios de equidad e inclusión, con particular atención a los grupos históricamente excluidos y de especial protección, prohibiéndose cualquier tipo de discriminación."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 37,6. Los estudios de educación superior conducentes a títulos y grados académicos iniciales serán gratuitos en las instituciones públicas y en aquellas privadas que determine la ley.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 38,"Es deber del Estado promover el derecho a la educación permanente a través de oportunidades formativas múltiples, dentro y fuera del Sistema Nacional de Educación, fomentando diversos espacios de desarrollo y aprendizaje integral para todas las personas."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 39,"El Estado garantiza una educación ambiental que fortalezca la preservación, la conservación y los cuidados requeridos respecto al medioambiente y la naturaleza, y que permita formar conciencia ecológica."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 40,"Toda persona tiene derecho a recibir una educación sexual integral, que promueva el disfrute pleno y libre de la sexualidad; la responsabilidad sexoafectiva; la autonomía, el autocuidado y el consentimiento; el reconocimiento de las diversas identidades y expresiones del género y la sexualidad; que erradique los estereotipos de género, y que prevenga la violencia de género y sexual."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 41,1. Se garantiza la libertad de enseñanza y es deber del Estado respetarla.
Capítulo II,Derechos Fundamentales y Garantías,Artículo 41,"2. Esta comprende la libertad de madres, padres, apoderadas, apoderados y tutores legales a elegir el tipo de educación de las personas a su cargo, respetando el interés superior y la autonomía progresiva de niñas, niños y adolescentes."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 41,"3. Las y los profesores y educadores son titulares de la libertad de cátedra en el ejercicio de sus funciones, en el marco de los fines y principios de la educación."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 42,"Quienes integran las comunidades educativas tienen derecho a participar en las definiciones del proyecto educativo y en las decisiones de cada establecimiento, así como en el diseño, la implementación y la evaluación de la política educacional local y nacional. La ley especificará las condiciones, los órganos y los procedimientos que aseguren su participación vinculante."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 43,"1. La Constitución reconoce el rol fundamental de las profesoras y los profesores, valora y fomenta la contribución de educadoras, educadores, asistentes de la educación y educadores tradicionales. En su conjunto, son agentes claves para la garantía del derecho a la educación."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 43,"2. El Estado garantiza el desarrollo del quehacer pedagógico y educativo de quienes trabajen en establecimientos e instituciones que reciban fondos públicos. Dicha garantía incluye la formación inicial y continua, su ejercicio reflexivo y colaborativo y la investigación pedagógica, en coherencia con los principios y fines de la educación. Asimismo, protege la estabilidad en el ejercicio de sus funciones asegurando condiciones laborales óptimas y resguardando su autonomía profesional."
Capítulo II,Derechos Fundamentales y Garantías,Artículo 43,"3. Las trabajadoras y los trabajadores de educación parvularia, básica y media que se desempeñen en establecimientos que reciban recursos del Estado gozarán de los mismos derechos que contemple la ley."
